2020-05-16 21:23:38,417 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Test:TestIntegration:0.0.1-SNAPSHOT @ C:\GitProjects\TestIntegration\pom.xml.
2020-05-16 21:23:40,007 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Test:TestIntegration:0.0.1-SNAPSHOT @ C:\GitProjects\TestIntegration\pom.xml.
2020-05-16 21:23:40,008 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TestIntegration/src/main/java
2020-05-16 21:23:40,010 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TestIntegration/src/main/resources
2020-05-16 21:23:40,042 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TestIntegration/src/test/java
2020-05-16 21:23:40,073 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TestIntegration/src/test/resources
2020-05-16 21:23:40,377 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2020-05-16 21:23:44,915 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Test:TestIntegration:0.0.1-SNAPSHOT @ C:\GitProjects\TestIntegration\pom.xml.
2020-05-16 21:23:45,663 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-16 21:23:45,676 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-16 21:23:45,679 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-16 21:23:45,680 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:24:13,773 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Test:TestIntegration:0.0.1-SNAPSHOT @ C:\GitProjects\TestIntegration\pom.xml.
2020-05-17 09:24:16,027 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Test:TestIntegration:0.0.1-SNAPSHOT @ C:\GitProjects\TestIntegration\pom.xml.
2020-05-17 09:24:22,405 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:24:22,433 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:24:22,436 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:24:22,437 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:24:23,545 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Test:TestIntegration:0.0.1-SNAPSHOT @ C:\GitProjects\TestIntegration\pom.xml.
2020-05-17 09:24:24,979 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:24:24,984 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:24:24,985 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:24:24,987 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:28:12,991 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:28:13,028 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:28:13,031 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:28:13,033 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:30:26,182 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:30:26,184 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:30:26,186 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:30:26,195 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:33:00,235 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:33:00,236 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:33:00,237 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:33:00,239 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:33:23,392 [Worker-8] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\GitProjects\TestIntegration
2020-05-17 09:33:23,393 [Worker-8] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2020-05-17 09:33:31,772 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:33:31,773 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 09:33:31,775 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 09:33:31,776 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 18:39:28,024 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Test:TestIntegration:0.0.1-SNAPSHOT @ C:\GitProjects\TestIntegration\pom.xml.
2020-05-17 18:39:33,282 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 18:39:33,411 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 18:39:33,430 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 18:39:33,431 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 19:08:53,337 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 19:08:53,350 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 19:08:53,353 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 19:08:53,355 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 20:01:02,479 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Test:TestIntegration:0.0.1-SNAPSHOT @ C:\GitProjects\TestIntegration\pom.xml.
2020-05-17 20:01:03,910 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 20:01:03,916 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-05-17 20:01:03,919 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-05-17 20:01:03,920 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
